Usuario,Partido,Predicción,Resultado Real,Puntos
Andrés Román,República Checa vs Sudáfrica,2-0,1-1,0
Andrés Román,Ecuador vs Curazao,2-0,0-0,0
Andrés Román,Inglaterra vs Ghana,3-1,0-0,0
Andrés Román,Francia vs Irak,2-1,3-0,1
Andrés Román,Alemania vs Costa de Marfil,2-2,2-1,0
Andrés Román,Jordania vs Argelia,0-2,1-2,1
Andrés Román,México vs Corea del Sur,1-2,1-0,0
Andrés Román,Países Bajos vs Suecia,2-1,5-1,1
Andrés Román,Nueva Zelanda vs Egipto,1-2,1-3,1
Andrés Román,Noruega vs Senegal,2-1,3-2,1
Andrés Román,Panamá vs Croacia,0-2,0-1,1
Andrés Román,Portugal vs Uzbekistán,2-1,5-0,1
Andrés Román,Escocia vs Marruecos,0-2,0-1,1
Andrés Román,España vs Arabia Saudita,2-0,4-0,1
Andrés Román,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Andrés Román,Túnez vs Japón,0-1,0-4,1
Andrés Román,Uruguay vs Cabo Verde,1-0,2-2,0
Andrés Román,Estados Unidos vs Australia,3-0,2-0,1
Andrey,Argentina vs Austria,3-1,2-0,1
Andrey,Bélgica vs Irán,2-0,0-0,0
Andrey,Brasil vs Haití,2-0,3-0,1
Andrey,Canadá vs Catar,1-0,6-0,1
Andrey,Colombia vs RD Congo,2-1,1-0,1
Andrey,Ecuador vs Curazao,0-0,0-0,2
Andrey,Inglaterra vs Ghana,3-0,0-0,0
Andrey,Francia vs Irak,3-0,3-0,2
Andrey,Alemania vs Costa de Marfil,2-0,2-1,1
Andrey,Jordania vs Argelia,1-1,1-2,0
Andrey,México vs Corea del Sur,2-2,1-0,0
Andrey,Países Bajos vs Suecia,1-1,5-1,0
Andrey,Nueva Zelanda vs Egipto,2-1,1-3,0
Andrey,Noruega vs Senegal,3-1,3-2,1
Andrey,Panamá vs Croacia,1-2,0-1,1
Andrey,Portugal vs Uzbekistán,2-0,5-0,1
Andrey,Escocia vs Marruecos,1-2,0-1,1
Andrey,España vs Arabia Saudita,2-0,4-0,1
Andrey,Túnez vs Japón,1-2,0-4,1
Andrey,Turquía vs Paraguay,1-1,0-1,0
Andrey,Uruguay vs Cabo Verde,2-1,2-2,0
Andrey,Estados Unidos vs Australia,2-1,2-0,1
Armando,Argentina vs Austria,3-1,2-0,1
Armando,Bélgica vs Irán,2-1,0-0,0
Armando,Brasil vs Haití,4-1,3-0,1
Armando,Colombia vs RD Congo,2-1,1-0,1
Armando,República Checa vs Sudáfrica,2-1,1-1,0
Armando,Ecuador vs Curazao,2-1,0-0,0
Armando,Inglaterra vs Ghana,3-2,0-0,0
Armando,Francia vs Irak,4-1,3-0,1
Armando,Alemania vs Costa de Marfil,4-0,2-1,1
Armando,Jordania vs Argelia,1-2,1-2,2
Armando,Países Bajos vs Suecia,2-2,5-1,0
Armando,Nueva Zelanda vs Egipto,2-1,1-3,0
Armando,Noruega vs Senegal,2-1,3-2,1
Armando,Panamá vs Croacia,3-2,0-1,0
Armando,Portugal vs Uzbekistán,3-1,5-0,1
Armando,Escocia vs Marruecos,4-1,0-1,0
Armando,España vs Arabia Saudita,3-0,4-0,1
Armando,Túnez vs Japón,1-3,0-4,1
Armando,Turquía vs Paraguay,2-1,0-1,0
Armando,Uruguay vs Cabo Verde,3-1,2-2,0
Armando,Estados Unidos vs Australia,3-1,2-0,1
Arnoldo Barba,Argentina vs Austria,3-1,2-0,1
Arnoldo Barba,Bélgica vs Irán,2-1,0-0,0
Arnoldo Barba,Brasil vs Haití,4-1,3-0,1
Arnoldo Barba,Canadá vs Catar,2-2,6-0,0
Arnoldo Barba,Colombia vs RD Congo,3-1,1-0,1
Arnoldo Barba,Ecuador vs Curazao,3-1,0-0,0
Arnoldo Barba,Inglaterra vs Ghana,3-1,0-0,0
Arnoldo Barba,Francia vs Irak,4-0,3-0,1
Arnoldo Barba,Alemania vs Costa de Marfil,3-0,2-1,1
Arnoldo Barba,Jordania vs Argelia,1-2,1-2,2
Arnoldo Barba,México vs Corea del Sur,2-1,1-0,1
Arnoldo Barba,Países Bajos vs Suecia,1-2,5-1,0
Arnoldo Barba,Nueva Zelanda vs Egipto,1-1,1-3,0
Arnoldo Barba,Noruega vs Senegal,1-3,3-2,0
Arnoldo Barba,Panamá vs Croacia,1-3,0-1,1
Arnoldo Barba,Portugal vs Uzbekistán,3-1,5-0,1
Arnoldo Barba,Escocia vs Marruecos,1-2,0-1,1
Arnoldo Barba,España vs Arabia Saudita,4-0,4-0,2
Arnoldo Barba,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Arnoldo Barba,Túnez vs Japón,1-3,0-4,1
Arnoldo Barba,Turquía vs Paraguay,1-2,0-1,1
Arnoldo Barba,Uruguay vs Cabo Verde,3-0,2-2,0
Arnoldo Barba,Estados Unidos vs Australia,2-1,2-0,1
Arturo,Argentina vs Austria,2-3,2-0,0
Arturo,Bélgica vs Irán,0-1,0-0,0
Arturo,Brasil vs Haití,4-0,3-0,1
Arturo,Canadá vs Catar,2-1,6-0,1
Arturo,Colombia vs RD Congo,0-5,1-0,0
Arturo,República Checa vs Sudáfrica,2-0,1-1,0
Arturo,Ecuador vs Curazao,2-3,0-0,0
Arturo,Inglaterra vs Ghana,1-3,0-0,0
Arturo,Francia vs Irak,0-2,3-0,0
Arturo,Alemania vs Costa de Marfil,1-2,2-1,0
Arturo,Jordania vs Argelia,3-2,1-2,0
Arturo,México vs Corea del Sur,2-1,1-0,1
Arturo,Países Bajos vs Suecia,1-2,5-1,0
Arturo,Nueva Zelanda vs Egipto,3-2,1-3,0
Arturo,Noruega vs Senegal,0-3,3-2,0
Arturo,Panamá vs Croacia,3-2,0-1,0
Arturo,Portugal vs Uzbekistán,2-3,5-0,0
Arturo,Escocia vs Marruecos,1-1,0-1,0
Arturo,España vs Arabia Saudita,1-3,4-0,0
Arturo,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Arturo,Túnez vs Japón,3-2,0-4,0
Arturo,Turquía vs Paraguay,2-1,0-1,0
Arturo,Uruguay vs Cabo Verde,1-2,2-2,0
Arturo,Estados Unidos vs Australia,2-1,2-0,1
Bryan 2,Argentina vs Austria,2-0,2-0,2
Bryan 2,Bélgica vs Irán,3-0,0-0,0
Bryan 2,Brasil vs Haití,3-0,3-0,2
Bryan 2,Canadá vs Catar,0-1,6-0,0
Bryan 2,Colombia vs RD Congo,1-1,1-0,0
Bryan 2,República Checa vs Sudáfrica,2-0,1-1,0
Bryan 2,Ecuador vs Curazao,1-1,0-0,1
Bryan 2,Inglaterra vs Ghana,2-1,0-0,0
Bryan 2,Francia vs Irak,3-0,3-0,2
Bryan 2,Alemania vs Costa de Marfil,2-0,2-1,1
Bryan 2,Jordania vs Argelia,0-1,1-2,1
Bryan 2,México vs Corea del Sur,1-0,1-0,2
Bryan 2,Países Bajos vs Suecia,2-1,5-1,1
Bryan 2,Nueva Zelanda vs Egipto,1-2,1-3,1
Bryan 2,Noruega vs Senegal,2-2,3-2,0
Bryan 2,Panamá vs Croacia,1-2,0-1,1
Bryan 2,Portugal vs Uzbekistán,2-1,5-0,1
Bryan 2,Escocia vs Marruecos,1-3,0-1,1
Bryan 2,España vs Arabia Saudita,2-0,4-0,1
Bryan 2,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Bryan 2,Túnez vs Japón,0-3,0-4,1
Bryan 2,Turquía vs Paraguay,2-0,0-1,0
Bryan 2,Uruguay vs Cabo Verde,1-0,2-2,0
Bryan 2,Estados Unidos vs Australia,2-1,2-0,1
Bryan Montiel,Argentina vs Austria,2-1,2-0,1
Bryan Montiel,Bélgica vs Irán,3-0,0-0,0
Bryan Montiel,Brasil vs Haití,3-0,3-0,2
Bryan Montiel,Canadá vs Catar,2-1,6-0,1
Bryan Montiel,Colombia vs RD Congo,2-1,1-0,1
Bryan Montiel,República Checa vs Sudáfrica,2-0,1-1,0
Bryan Montiel,Ecuador vs Curazao,1-0,0-0,0
Bryan Montiel,Inglaterra vs Ghana,4-0,0-0,0
Bryan Montiel,Francia vs Irak,3-0,3-0,2
Bryan Montiel,Alemania vs Costa de Marfil,3-1,2-1,1
Bryan Montiel,Jordania vs Argelia,1-2,1-2,2
Bryan Montiel,México vs Corea del Sur,2-1,1-0,1
Bryan Montiel,Países Bajos vs Suecia,2-1,5-1,1
Bryan Montiel,Nueva Zelanda vs Egipto,1-2,1-3,1
Bryan Montiel,Noruega vs Senegal,3-1,3-2,1
Bryan Montiel,Panamá vs Croacia,1-2,0-1,1
Bryan Montiel,Portugal vs Uzbekistán,2-0,5-0,1
Bryan Montiel,Escocia vs Marruecos,0-3,0-1,1
Bryan Montiel,España vs Arabia Saudita,2-0,4-0,1
Bryan Montiel,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Bryan Montiel,Túnez vs Japón,0-2,0-4,1
Bryan Montiel,Turquía vs Paraguay,2-1,0-1,0
Bryan Montiel,Uruguay vs Cabo Verde,1-0,2-2,0
Bryan Montiel,Estados Unidos vs Australia,2-1,2-0,1
Carlos,Argentina vs Austria,2-0,2-0,2
Carlos,Bélgica vs Irán,2-0,0-0,0
Carlos,Brasil vs Haití,3-0,3-0,2
Carlos,Canadá vs Catar,1-2,6-0,0
Carlos,Colombia vs RD Congo,2-1,1-0,1
Carlos,Ecuador vs Curazao,2-1,0-0,0
Carlos,Inglaterra vs Ghana,3-0,0-0,0
Carlos,Francia vs Irak,3-0,3-0,2
Carlos,Alemania vs Costa de Marfil,3-0,2-1,1
Carlos,Jordania vs Argelia,1-0,1-2,0
Carlos,México vs Corea del Sur,1-1,1-0,0
Carlos,Países Bajos vs Suecia,2-1,5-1,1
Carlos,Nueva Zelanda vs Egipto,1-1,1-3,0
Carlos,Noruega vs Senegal,2-0,3-2,1
Carlos,Panamá vs Croacia,0-2,0-1,1
Carlos,Portugal vs Uzbekistán,2-0,5-0,1
Carlos,Escocia vs Marruecos,1-3,0-1,1
Carlos,España vs Arabia Saudita,3-0,4-0,1
Carlos,Suiza vs Bosnia y Herzegovina,2-0,4-1,1
Carlos,Túnez vs Japón,0-2,0-4,1
Carlos,Turquía vs Paraguay,2-2,0-1,0
Carlos,Uruguay vs Cabo Verde,2-1,2-2,0
Carlos,Estados Unidos vs Australia,2-0,2-0,2
Claudio,Argentina vs Austria,2-0,2-0,2
Claudio,Bélgica vs Irán,2-1,0-0,0
Claudio,Brasil vs Haití,3-0,3-0,2
Claudio,Canadá vs Catar,3-1,6-0,1
Claudio,Colombia vs RD Congo,2-0,1-0,1
Claudio,República Checa vs Sudáfrica,2-1,1-1,0
Claudio,Ecuador vs Curazao,4-0,0-0,0
Claudio,Inglaterra vs Ghana,2-0,0-0,0
Claudio,Francia vs Irak,2-0,3-0,1
Claudio,Alemania vs Costa de Marfil,2-1,2-1,2
Claudio,Jordania vs Argelia,1-2,1-2,2
Claudio,México vs Corea del Sur,2-1,1-0,1
Claudio,Países Bajos vs Suecia,2-1,5-1,1
Claudio,Nueva Zelanda vs Egipto,1-2,1-3,1
Claudio,Noruega vs Senegal,1-2,3-2,0
Claudio,Panamá vs Croacia,1-2,0-1,1
Claudio,Portugal vs Uzbekistán,1-0,5-0,1
Claudio,Escocia vs Marruecos,0-1,0-1,2
Claudio,España vs Arabia Saudita,2-0,4-0,1
Claudio,Suiza vs Bosnia y Herzegovina,2-0,4-1,1
Claudio,Túnez vs Japón,0-2,0-4,1
Claudio,Turquía vs Paraguay,2-1,0-1,0
Claudio,Uruguay vs Cabo Verde,2-0,2-2,0
Claudio,Estados Unidos vs Australia,2-1,2-0,1
Cosmo,Argentina vs Austria,1-0,2-0,1
Cosmo,Bélgica vs Irán,0-2,0-0,0
Cosmo,Brasil vs Haití,4-1,3-0,1
Cosmo,Canadá vs Catar,2-1,6-0,1
Cosmo,Colombia vs RD Congo,3-2,1-0,1
Cosmo,República Checa vs Sudáfrica,0-0,1-1,1
Cosmo,Ecuador vs Curazao,2-3,0-0,0
Cosmo,Inglaterra vs Ghana,0-1,0-0,0
Cosmo,Francia vs Irak,2-1,3-0,1
Cosmo,Alemania vs Costa de Marfil,3-1,2-1,1
Cosmo,Jordania vs Argelia,0-0,1-2,0
Cosmo,México vs Corea del Sur,2-0,1-0,1
Cosmo,Países Bajos vs Suecia,1-2,5-1,0
Cosmo,Nueva Zelanda vs Egipto,2-2,1-3,0
Cosmo,Noruega vs Senegal,1-0,3-2,1
Cosmo,Panamá vs Croacia,0-0,0-1,0
Cosmo,Portugal vs Uzbekistán,1-0,5-0,1
Cosmo,Escocia vs Marruecos,2-2,0-1,0
Cosmo,España vs Arabia Saudita,3-2,4-0,1
Cosmo,Suiza vs Bosnia y Herzegovina,1-1,4-1,0
Cosmo,Túnez vs Japón,1-3,0-4,1
Cosmo,Turquía vs Paraguay,2-3,0-1,1
Cosmo,Uruguay vs Cabo Verde,3-0,2-2,0
Cosmo,Estados Unidos vs Australia,2-3,2-0,0
Cuquito power,Argentina vs Austria,2-0,2-0,2
Cuquito power,Bélgica vs Irán,3-1,0-0,0
Cuquito power,Brasil vs Haití,2-0,3-0,1
Cuquito power,Canadá vs Catar,0-1,6-0,0
Cuquito power,Colombia vs RD Congo,2-0,1-0,1
Cuquito power,República Checa vs Sudáfrica,1-1,1-1,2
Cuquito power,Ecuador vs Curazao,2-0,0-0,0
Cuquito power,Inglaterra vs Ghana,3-1,0-0,0
Cuquito power,Francia vs Irak,3-0,3-0,2
Cuquito power,Alemania vs Costa de Marfil,2-0,2-1,1
Cuquito power,Jordania vs Argelia,1-1,1-2,0
Cuquito power,México vs Corea del Sur,2-1,1-0,1
Cuquito power,Países Bajos vs Suecia,2-3,5-1,0
Cuquito power,Nueva Zelanda vs Egipto,0-1,1-3,1
Cuquito power,Noruega vs Senegal,2-0,3-2,1
Cuquito power,Panamá vs Croacia,1-2,0-1,1
Cuquito power,Portugal vs Uzbekistán,2-0,5-0,1
Cuquito power,Escocia vs Marruecos,1-2,0-1,1
Cuquito power,España vs Arabia Saudita,2-0,4-0,1
Cuquito power,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Cuquito power,Túnez vs Japón,1-3,0-4,1
Cuquito power,Turquía vs Paraguay,1-1,0-1,0
Cuquito power,Uruguay vs Cabo Verde,1-2,2-2,0
Cuquito power,Estados Unidos vs Australia,2-0,2-0,2
Daniel Flores,Argentina vs Austria,2-0,2-0,2
Daniel Flores,Bélgica vs Irán,2-0,0-0,0
Daniel Flores,Brasil vs Haití,4-0,3-0,1
Daniel Flores,Canadá vs Catar,2-1,6-0,1
Daniel Flores,Colombia vs RD Congo,2-1,1-0,1
Daniel Flores,República Checa vs Sudáfrica,2-0,1-1,0
Daniel Flores,Ecuador vs Curazao,3-1,0-0,0
Daniel Flores,Inglaterra vs Ghana,3-0,0-0,0
Daniel Flores,Francia vs Irak,3-0,3-0,2
Daniel Flores,Alemania vs Costa de Marfil,4-1,2-1,1
Daniel Flores,Jordania vs Argelia,0-2,1-2,1
Daniel Flores,México vs Corea del Sur,3-1,1-0,1
Daniel Flores,Países Bajos vs Suecia,2-1,5-1,1
Daniel Flores,Nueva Zelanda vs Egipto,2-1,1-3,0
Daniel Flores,Noruega vs Senegal,2-1,3-2,1
Daniel Flores,Panamá vs Croacia,0-3,0-1,1
Daniel Flores,Portugal vs Uzbekistán,3-1,5-0,1
Daniel Flores,Escocia vs Marruecos,1-2,0-1,1
Daniel Flores,España vs Arabia Saudita,3-0,4-0,1
Daniel Flores,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Daniel Flores,Túnez vs Japón,1-4,0-4,1
Daniel Flores,Turquía vs Paraguay,1-2,0-1,1
Daniel Flores,Uruguay vs Cabo Verde,1-0,2-2,0
Daniel Flores,Estados Unidos vs Australia,3-1,2-0,1
dieroberg48,Argentina vs Austria,2-1,2-0,1
dieroberg48,Bélgica vs Irán,2-0,0-0,0
dieroberg48,Brasil vs Haití,3-0,3-0,2
dieroberg48,Canadá vs Catar,1-1,6-0,0
dieroberg48,Colombia vs RD Congo,3-0,1-0,1
dieroberg48,Ecuador vs Curazao,2-0,0-0,0
dieroberg48,Inglaterra vs Ghana,4-0,0-0,0
dieroberg48,Francia vs Irak,4-0,3-0,1
dieroberg48,Alemania vs Costa de Marfil,3-0,2-1,1
dieroberg48,Jordania vs Argelia,1-2,1-2,2
dieroberg48,México vs Corea del Sur,3-1,1-0,1
dieroberg48,Países Bajos vs Suecia,2-1,5-1,1
dieroberg48,Nueva Zelanda vs Egipto,0-2,1-3,1
dieroberg48,Noruega vs Senegal,2-1,3-2,1
dieroberg48,Panamá vs Croacia,1-2,0-1,1
dieroberg48,Portugal vs Uzbekistán,3-0,5-0,1
dieroberg48,Escocia vs Marruecos,0-2,0-1,1
dieroberg48,España vs Arabia Saudita,2-1,4-0,1
dieroberg48,Suiza vs Bosnia y Herzegovina,1-0,4-1,1
dieroberg48,Túnez vs Japón,0-2,0-4,1
dieroberg48,Turquía vs Paraguay,2-0,0-1,0
dieroberg48,Uruguay vs Cabo Verde,1-0,2-2,0
dieroberg48,Estados Unidos vs Australia,3-0,2-0,1
El inquisidor de Excel,Argentina vs Austria,3-0,2-0,1
El inquisidor de Excel,Bélgica vs Irán,2-0,0-0,0
El inquisidor de Excel,Brasil vs Haití,2-0,3-0,1
El inquisidor de Excel,Canadá vs Catar,2-1,6-0,1
El inquisidor de Excel,Colombia vs RD Congo,2-0,1-0,1
El inquisidor de Excel,República Checa vs Sudáfrica,2-0,1-1,0
El inquisidor de Excel,Ecuador vs Curazao,3-1,0-0,0
El inquisidor de Excel,Inglaterra vs Ghana,2-0,0-0,0
El inquisidor de Excel,Francia vs Irak,3-1,3-0,1
El inquisidor de Excel,Alemania vs Costa de Marfil,3-1,2-1,1
El inquisidor de Excel,Jordania vs Argelia,1-2,1-2,2
El inquisidor de Excel,México vs Corea del Sur,2-1,1-0,1
El inquisidor de Excel,Países Bajos vs Suecia,2-2,5-1,0
El inquisidor de Excel,Nueva Zelanda vs Egipto,1-2,1-3,1
El inquisidor de Excel,Noruega vs Senegal,2-1,3-2,1
El inquisidor de Excel,Panamá vs Croacia,1-2,0-1,1
El inquisidor de Excel,Portugal vs Uzbekistán,2-0,5-0,1
El inquisidor de Excel,Escocia vs Marruecos,0-2,0-1,1
El inquisidor de Excel,España vs Arabia Saudita,2-1,4-0,1
El inquisidor de Excel,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
El inquisidor de Excel,Túnez vs Japón,1-3,0-4,1
El inquisidor de Excel,Turquía vs Paraguay,1-1,0-1,0
El inquisidor de Excel,Uruguay vs Cabo Verde,2-0,2-2,0
El inquisidor de Excel,Estados Unidos vs Australia,2-1,2-0,1
Erika,Argentina vs Austria,2-1,2-0,1
Erika,Bélgica vs Irán,2-0,0-0,0
Erika,Brasil vs Haití,4-0,3-0,1
Erika,Canadá vs Catar,1-0,6-0,1
Erika,Colombia vs RD Congo,1-0,1-0,2
Erika,República Checa vs Sudáfrica,3-0,1-1,0
Erika,Ecuador vs Curazao,3-0,0-0,0
Erika,Inglaterra vs Ghana,3-1,0-0,0
Erika,Francia vs Irak,4-0,3-0,1
Erika,Alemania vs Costa de Marfil,3-1,2-1,1
Erika,Jordania vs Argelia,1-2,1-2,2
Erika,México vs Corea del Sur,2-1,1-0,1
Erika,Países Bajos vs Suecia,2-1,5-1,1
Erika,Nueva Zelanda vs Egipto,1-2,1-3,1
Erika,Noruega vs Senegal,1-1,3-2,0
Erika,Panamá vs Croacia,0-2,0-1,1
Erika,Portugal vs Uzbekistán,3-0,5-0,1
Erika,Escocia vs Marruecos,0-1,0-1,2
Erika,España vs Arabia Saudita,2-0,4-0,1
Erika,Suiza vs Bosnia y Herzegovina,2-0,4-1,1
Erika,Túnez vs Japón,0-3,0-4,1
Erika,Turquía vs Paraguay,1-1,0-1,0
Erika,Uruguay vs Cabo Verde,3-0,2-2,0
Erika,Estados Unidos vs Australia,2-1,2-0,1
Fer y Cyn,Bélgica vs Irán,1-0,0-0,0
Fer y Cyn,Brasil vs Haití,4-0,3-0,1
Fer y Cyn,Canadá vs Catar,1-0,6-0,1
Fer y Cyn,República Checa vs Sudáfrica,1-0,1-1,0
Fer y Cyn,Ecuador vs Curazao,1-0,0-0,0
Fer y Cyn,Inglaterra vs Ghana,3-0,0-0,0
Fer y Cyn,Francia vs Irak,3-1,3-0,1
Fer y Cyn,Alemania vs Costa de Marfil,4-1,2-1,1
Fer y Cyn,México vs Corea del Sur,2-1,1-0,1
Fer y Cyn,Países Bajos vs Suecia,1-3,5-1,0
Fer y Cyn,Nueva Zelanda vs Egipto,0-1,1-3,1
Fer y Cyn,Noruega vs Senegal,1-1,3-2,0
Fer y Cyn,Portugal vs Uzbekistán,2-0,5-0,1
Fer y Cyn,Escocia vs Marruecos,1-2,0-1,1
Fer y Cyn,España vs Arabia Saudita,1-0,4-0,1
Fer y Cyn,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Fer y Cyn,Túnez vs Japón,0-2,0-4,1
Fer y Cyn,Turquía vs Paraguay,1-1,0-1,0
Fer y Cyn,Uruguay vs Cabo Verde,1-0,2-2,0
Fer y Cyn,Estados Unidos vs Australia,2-2,2-0,0
Héctor Carrera,Argentina vs Austria,4-0,2-0,1
Héctor Carrera,Bélgica vs Irán,2-1,0-0,0
Héctor Carrera,Brasil vs Haití,3-0,3-0,2
Héctor Carrera,Canadá vs Catar,2-1,6-0,1
Héctor Carrera,Colombia vs RD Congo,2-0,1-0,1
Héctor Carrera,República Checa vs Sudáfrica,2-2,1-1,1
Héctor Carrera,Ecuador vs Curazao,3-0,0-0,0
Héctor Carrera,Inglaterra vs Ghana,5-1,0-0,0
Héctor Carrera,Francia vs Irak,3-1,3-0,1
Héctor Carrera,Alemania vs Costa de Marfil,5-0,2-1,1
Héctor Carrera,Jordania vs Argelia,1-2,1-2,2
Héctor Carrera,México vs Corea del Sur,3-1,1-0,1
Héctor Carrera,Países Bajos vs Suecia,2-1,5-1,1
Héctor Carrera,Nueva Zelanda vs Egipto,1-1,1-3,0
Héctor Carrera,Noruega vs Senegal,0-0,3-2,0
Héctor Carrera,Panamá vs Croacia,1-3,0-1,1
Héctor Carrera,Portugal vs Uzbekistán,4-1,5-0,1
Héctor Carrera,Escocia vs Marruecos,1-2,0-1,1
Héctor Carrera,España vs Arabia Saudita,3-1,4-0,1
Héctor Carrera,Suiza vs Bosnia y Herzegovina,2-1,4-1,1
Héctor Carrera,Túnez vs Japón,1-3,0-4,1
Héctor Carrera,Turquía vs Paraguay,1-1,0-1,0
Héctor Carrera,Uruguay vs Cabo Verde,3-0,2-2,0
Héctor Carrera,Estados Unidos vs Australia,3-0,2-0,1
Innavoeg,Argentina vs Austria,3-1,2-0,1
Innavoeg,Bélgica vs Irán,2-0,0-0,0
Innavoeg,Brasil vs Haití,5-0,3-0,1
Innavoeg,Canadá vs Catar,1-1,6-0,0
Innavoeg,Colombia vs RD Congo,1-0,1-0,2
Innavoeg,República Checa vs Sudáfrica,2-0,1-1,0
Innavoeg,Ecuador vs Curazao,2-0,0-0,0
Innavoeg,Inglaterra vs Ghana,3-1,0-0,0
Innavoeg,Francia vs Irak,3-0,3-0,2
Innavoeg,Alemania vs Costa de Marfil,2-0,2-1,1
Innavoeg,Jordania vs Argelia,1-2,1-2,2
Innavoeg,México vs Corea del Sur,2-1,1-0,1
Innavoeg,Países Bajos vs Suecia,2-0,5-1,1
